	TCGA-02-0047-01	TCGA-02-0055-01	TCGA-02-2483-01	TCGA-02-2485-01	TCGA-02-2486-01	TCGA-06-0129-01	TCGA-06-0130-01	TCGA-06-0132-01	TCGA-06-0141-01	TCGA-06-0157-01	TCGA-06-0158-01	TCGA-06-0168-01	TCGA-06-0174-01	TCGA-06-0178-01	TCGA-06-0184-01	TCGA-06-0219-01	TCGA-06-0238-01	TCGA-06-0644-01	TCGA-06-0645-01	TCGA-06-0646-01	TCGA-06-0649-01	TCGA-06-0686-01	TCGA-06-0743-01	TCGA-06-0744-01	TCGA-06-0745-01	TCGA-06-0747-01	TCGA-06-0749-01	TCGA-06-0750-01	TCGA-06-0878-01	TCGA-06-0882-01	TCGA-06-1804-01	TCGA-06-2557-01	TCGA-06-2558-01	TCGA-06-2559-01	TCGA-06-2561-01	TCGA-06-2562-01	TCGA-06-2563-01	TCGA-06-2564-01	TCGA-06-2565-01	TCGA-06-2567-01	TCGA-06-2569-01	TCGA-06-2570-01	TCGA-06-5408-01	TCGA-06-5410-01	TCGA-06-5411-01	TCGA-06-5412-01	TCGA-06-5413-01	TCGA-06-5414-01	TCGA-06-5415-01	TCGA-06-5418-01	TCGA-06-5859-01	TCGA-08-0386-01	TCGA-12-0616-01	TCGA-12-0618-01	TCGA-12-0619-01	TCGA-12-0821-01	TCGA-12-3650-01	TCGA-12-3652-01	TCGA-12-3653-01	TCGA-12-5295-01	TCGA-12-5299-01	TCGA-14-0781-01	TCGA-14-0787-01	TCGA-14-0789-01	TCGA-14-0790-01	TCGA-14-0817-01	TCGA-14-1823-01	TCGA-14-1825-01	TCGA-14-1829-01	TCGA-14-2554-01	TCGA-15-0742-01	TCGA-15-1444-01	TCGA-16-0846-01	TCGA-16-1045-01	TCGA-19-1390-01	TCGA-19-2619-01	TCGA-19-2620-01	TCGA-19-2624-01	TCGA-19-2625-01	TCGA-19-2629-01	TCGA-19-5960-01	TCGA-26-1442-01	TCGA-26-5132-01	TCGA-26-5134-01	TCGA-26-5135-01	TCGA-26-5136-01	TCGA-26-5139-01	TCGA-27-1830-01	TCGA-27-1831-01	TCGA-27-1832-01	TCGA-27-1834-01	TCGA-27-1835-01	TCGA-27-1837-01	TCGA-27-2519-01	TCGA-27-2523-01	TCGA-27-2524-01	TCGA-27-2526-01	TCGA-27-2528-01	TCGA-28-1747-01	TCGA-28-1753-01	TCGA-28-2509-01	TCGA-28-2510-01	TCGA-28-2513-01	TCGA-28-2514-01	TCGA-28-5204-01	TCGA-28-5207-01	TCGA-28-5208-01	TCGA-28-5209-01	TCGA-28-5213-01	TCGA-28-5215-01	TCGA-28-5216-01	TCGA-28-5218-01	TCGA-28-5220-01	TCGA-32-1970-01	TCGA-32-1980-01	TCGA-32-1982-01	TCGA-32-2615-01	TCGA-32-2632-01	TCGA-32-2634-01	TCGA-32-2638-01	TCGA-32-4213-01	TCGA-32-5222-01	TCGA-41-2571-01	TCGA-41-2572-01	TCGA-41-3915-01	TCGA-41-4097-01	TCGA-41-5651-01	TCGA-76-4925-01	TCGA-76-4926-01	TCGA-76-4928-01	TCGA-76-4929-01	TCGA-76-4931-01
DMRTA1	0	0	3	0	0	0	0	0	0	0	3	0	1	0	0	0	0	3	0	0	0	0	3	0	3	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	3	0	0	3	0	3	0	0	0	0	3	3	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	3	0	3	0	3	0	3	0	3	3	0	0	0	0	0	0	3	0	3	0	3	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3
CDKN2B	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	3	0	3	3	0	3	0	3	3	0	0	3	3	0	0	0	0	0	0	3	0	3	0	0	0	3	0	0	0	3	3	3	3	0	0	0	0	0	3	3	3	3	3	3	0	3	0	3	3	3	3	3	3	3	0	0	3	3	3	3	0	0	0	0	0	0	3	0	0	3	3	0	0	3	0	3	0	3	3	0	0	3	0	0	3	3	0	3	0	3	3	0	0	3	1	3	0	0	3	3	0	0	0	3	3	0	0	0	3	0	3	0	3	3	3
CDKN2A	3	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	3	0	3	3	0	3	0	3	3	0	3	3	3	0	1	0	0	3	3	3	0	3	0	0	0	3	0	3	0	3	3	3	3	3	0	0	0	0	3	3	3	3	3	0	0	3	3	3	0	3	3	3	3	3	0	0	3	3	3	3	0	0	0	0	0	0	3	0	0	3	3	0	0	3	0	3	0	3	0	0	3	3	3	0	3	3	0	3	0	3	3	0	3	3	3	3	0	0	3	0	0	0	1	3	3	0	0	0	3	0	3	0	3	3	3
KLHL9	3	0	3	0	3	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	3	0	3	0	0	3	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	3	0	3	3	0	0	0	0	0	0	0	3	0	0	3	0	3	0	0	0	0	0	3	0	0	0	0	0	0	3	3	0	0	3	0	0	0	0	0	0	3	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	3
PIK3R1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
TP53	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0
RB1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	1	0	1	0	0	0	3	0	0	0	0	0	0	0
NF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MTAP	3	0	3	0	3	0	0	0	0	0	3	0	0	0	0	3	0	3	0	0	3	0	3	0	3	0	3	3	3	3	0	0	0	0	3	3	3	0	3	0	0	0	3	0	0	0	3	3	3	3	0	0	0	0	0	3	3	3	3	3	3	0	3	3	0	3	3	3	3	0	0	0	0	3	0	3	3	0	0	0	0	0	0	0	0	0	3	3	3	3	3	0	3	0	3	0	0	3	3	0	0	0	3	0	3	0	3	3	0	0	0	0	0	0	0	3	0	0	0	0	3	3	0	0	0	0	0	3	0	3	0	3
PTEN	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	3	0	1	0	3	1	0	5	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	3	3	0	0	0	0	1	0	0	3	0	0	3	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	1	0	1	1	0	1	1	0	3	1	0	1	1	0	0	0	0	1	0	3	1	0	0	0	0	1	0	3	1	0	1	1	1	0	1	1	0	1	0	0	0	1
